"ANIMALID","DATE","LONGITUDE","LATITUDE","DELETED"
"Nickolas","2010-07-01 00:21:00.000","141.705","-12.23","FALSE"
"Nickolas","2010-07-01 01:06:00.000","141.704","-12.234","FALSE"
"Nickolas","2010-07-01 02:42:00.000","141.737","-12.206","FALSE"
"Nickolas","2010-07-01 04:24:00.000","141.701","-12.208","FALSE"
"Nickolas","2010-07-01 04:36:00.000","141.682","-12.211","FALSE"
"Nickolas","2010-07-01 06:16:00.000","141.715","-12.193","FALSE"
"Nickolas","2010-07-01 06:23:00.000","141.72","-12.196","FALSE"
"Nickolas","2010-07-01 07:41:00.000","141.732","-12.187","FALSE"
"Nickolas","2010-07-01 08:02:00.000","141.736","-12.18","FALSE"
"Nickolas","2010-07-01 09:21:00.000","141.733","-12.171","FALSE"
"Nickolas","2010-07-01 11:08:00.000","141.744","-12.17","FALSE"
"Nickolas","2010-07-01 11:59:00.000","141.727","-12.171","FALSE"
"Nickolas","2010-07-01 12:50:00.000","141.717","-12.175","FALSE"
"Nickolas","2010-07-01 13:38:00.000","141.708","-12.199","FALSE"
"Nickolas","2010-07-01 15:38:00.000","141.692","-12.209","FALSE"
"Nickolas","2010-07-01 15:48:00.000","141.697","-12.206","FALSE"
"Nickolas","2010-07-01 17:17:00.000","141.682","-12.217","FALSE"
"Nickolas","2010-07-01 17:30:00.000","141.686","-12.225","FALSE"
"Nickolas","2010-07-01 17:30:00.000","141.68","-12.215","FALSE"
"Nickolas","2010-07-01 19:08:00.000","141.695","-12.225","FALSE"
"Nickolas","2010-07-01 20:35:00.000","141.684","-12.228","FALSE"
"Nickolas","2010-07-01 23:04:00.000","141.609","-12.21","FALSE"
"Nickolas","2010-07-01 23:56:00.000","141.666","-12.25","FALSE"
"Nickolas","2010-07-02 04:14:00.000","141.62","-12.265","FALSE"
"Nickolas","2010-07-02 04:25:00.000","141.619","-12.265","FALSE"
"Nickolas","2010-07-02 06:01:00.000","141.62","-12.253","FALSE"
"Nickolas","2010-07-02 07:40:00.000","141.653","-12.228","FALSE"
"Nickolas","2010-07-02 10:47:00.000","141.66","-12.204","FALSE"
"Nickolas","2010-07-02 11:37:00.000","141.667","-12.203","FALSE"
"Nickolas","2010-07-02 12:28:00.000","141.661","-12.204","FALSE"
"Nickolas","2010-07-02 13:18:00.000","141.67","-12.207","FALSE"
"Nickolas","2010-07-02 15:26:00.000","141.664","-12.234","FALSE"
"Nickolas","2010-07-02 18:48:00.000","141.579","-12.201","FALSE"
"Nickolas","2010-07-02 21:52:00.000","141.659","-12.285","FALSE"
"Nickolas","2010-07-03 00:25:00.000","141.619","-12.277","FALSE"
"emil","2010-07-01 00:20:00.000","141.715","-12.236","FALSE"
"emil","2010-07-01 01:05:00.000","141.711","-12.226","FALSE"
"emil","2010-07-01 06:27:00.000","141.723","-12.204","FALSE"
"emil","2010-07-01 11:11:00.000","141.724","-12.155","FALSE"
"emil","2010-07-01 15:54:00.000","141.775","-12.276","TRUE"
"emil","2010-07-01 17:19:00.000","141.733","-12.193","FALSE"
"emil","2010-07-01 23:01:00.000","141.844","-12.131","TRUE"
"emil","2010-07-02 05:54:00.000","141.643","-12.13","FALSE"
"emil","2010-07-02 05:57:00.000","141.598","-12.146","TRUE"
"emil","2010-07-02 10:46:00.000","141.664","-12.052","TRUE"
"emil","2010-07-02 10:47:00.000","141.677","-12.053","FALSE"
"emil","2010-07-02 21:51:00.000","141.663","-11.994","FALSE"
"emil","2010-07-03 00:25:00.000","141.662","-12.012","FALSE"
"emil","2010-07-03 10:34:00.000","141.914","-11.905","TRUE"
"emil","2010-07-03 16:52:00.000","141.706","-11.979","FALSE"
"emil","2010-07-04 04:10:00.000","141.665","-11.946","FALSE"
"emil","2010-07-04 08:42:00.000","141.673","-11.931","FALSE"
"emil","2010-07-04 15:20:00.000","141.651","-11.905","FALSE"
"emil","2010-07-05 03:43:00.000","141.635","-11.876","FALSE"
"emil","2010-07-05 08:32:00.000","141.615","-11.821","FALSE"
"emil","2010-07-05 21:28:00.000","141.628","-11.771","FALSE"
"emil","2010-07-05 22:21:00.000","141.652","-11.758","FALSE"
"emil","2010-07-06 05:19:00.000","141.985","-11.344","TRUE"
"emil","2010-07-06 10:55:00.000","141.621","-11.704","FALSE"
"emil","2010-07-06 20:28:00.000","141.6","-11.676","FALSE"
"emil","2010-07-06 23:00:00.000","141.626","-11.695","FALSE"
"emil","2010-07-06 23:38:00.000","141.592","-11.676","FALSE"
"emil","2010-07-07 05:12:00.000","141.59","-11.652","FALSE"
"emil","2010-07-07 09:51:00.000","141.573","-11.639","FALSE"
"emil","2010-07-07 10:36:00.000","141.532","-11.657","FALSE"
"emil","2010-07-07 16:15:00.000","141.56","-11.629","FALSE"
"emil","2010-07-08 00:23:00.000","141.529","-11.596","FALSE"
"emil","2010-07-08 08:35:00.000","141.526","-11.552","FALSE"
"emil","2010-07-08 18:00:00.000","141.528","-11.546","FALSE"
"emil","2010-07-08 22:58:00.000","141.592","-11.654","FALSE"
"emil","2010-07-09 03:04:00.000","141.469","-11.492","TRUE"
"emil","2010-07-09 03:11:00.000","141.458","-11.465","FALSE"
"emil","2010-07-09 03:12:00.000","141.458","-11.466","FALSE"
"emil","2010-07-09 08:09:00.000","141.382","-11.437","FALSE"
"emil","2010-07-09 12:32:00.000","141.439","-11.421","FALSE"
"emil","2010-07-09 17:34:00.000","141.416","-11.417","FALSE"
"emil","2010-07-09 17:36:00.000","141.406","-11.418","TRUE"
"emil","2010-07-09 17:45:00.000","141.411","-11.429","FALSE"
"emil","2010-07-09 19:18:00.000","141.393","-11.43","FALSE"
"emil","2010-07-09 20:36:00.000","141.37","-11.426","FALSE"
"emil","2010-07-09 22:27:00.000","141.39","-11.427","FALSE"
"emil","2010-07-10 01:23:00.000","141.513","-11.473","FALSE"
"emil","2010-07-10 06:12:00.000","141.369","-11.325","FALSE"
"emil","2010-07-10 15:46:00.000","141.286","-11.248","FALSE"
"emil","2010-07-10 20:26:00.000","141.324","-11.325","FALSE"
"emil","2010-07-10 20:32:00.000","141.325","-11.318","FALSE"
"emil","2010-07-11 00:58:00.000","141.243","-11.305","FALSE"
"emil","2010-07-11 07:23:00.000","141.212","-11.202","FALSE"
"emil","2010-07-11 09:01:00.000","141.256","-11.188","FALSE"
"emil","2010-07-11 15:28:00.000","141.179","-11.2","FALSE"
"emil","2010-07-11 17:27:00.000","141.279","-11.204","FALSE"
"emil","2010-07-11 18:28:00.000","141.238","-11.208","FALSE"
